iter	MultiClass
0	1.336823133
1	1.160182472
2	1.030717006
3	0.9291466491
4	0.8456790851
5	0.7774301345
6	0.7202966294
7	0.6711624452
8	0.6293675409
9	0.5909758478
10	0.5585964332
11	0.5303784305
12	0.5056259476
13	0.4840201983
14	0.4627091261
15	0.4442571964
16	0.4280001386
17	0.413588524
18	0.3995247409
19	0.3872623572
20	0.3765688353
21	0.3673312935
22	0.3579753955
23	0.3502359303
24	0.3428064874
25	0.3361868686
26	0.3305313855
27	0.3239111581
28	0.3179339176
29	0.3124912318
30	0.3078853989
31	0.3038498589
32	0.2999111107
33	0.2968896496
34	0.2928363701
35	0.2895599635
36	0.2862733972
37	0.282999765
38	0.2791311146
39	0.2760743747
40	0.2726167668
41	0.2709404298
42	0.2673675622
43	0.2647405121
44	0.2625734605
45	0.2598060792
46	0.2570061629
47	0.2553378424
48	0.2520481422
49	0.2498561301
50	0.2478557325
51	0.2464623115
52	0.2457115652
53	0.2442964186
54	0.2425951348
55	0.2403411088
56	0.237822044
57	0.2359752578
58	0.2344459547
59	0.2321029628
60	0.2302425676
61	0.2285809289
62	0.2266984232
63	0.2251689288
64	0.2239985002
65	0.2218366345
66	0.2204220566
67	0.218657763
68	0.2166912619
69	0.2160145361
70	0.2141393251
71	0.2126946969
72	0.2109695466
73	0.2099037122
74	0.2082808974
75	0.2073357894
76	0.2061790968
77	0.2049442022
78	0.2042138651
79	0.2029256656
80	0.2015958815
81	0.2000592068
82	0.1987503442
83	0.1973987029
84	0.1962195768
85	0.1956183091
86	0.1943662107
87	0.1929546237
88	0.1919519196
89	0.1908918809
90	0.1893894755
91	0.1881470318
92	0.1875112424
93	0.1866732489
94	0.1855689843
95	0.1848870203
96	0.1841109259
97	0.1829122861
98	0.1819259317
99	0.1810074813
100	0.1801673541
101	0.1791031217
102	0.1786999146
103	0.1778659569
104	0.1768953122
105	0.1763670769
106	0.1756860949
107	0.1748173193
108	0.1739282595
109	0.1728409584
110	0.1721666678
111	0.1713448605
112	0.1704607753
113	0.1699858668
114	0.1694343593
115	0.1685567706
116	0.1678057678
117	0.1667694661
118	0.165977428
119	0.1651770905
120	0.1642240532
121	0.163470779
122	0.1629598991
123	0.1623638286
124	0.1614969029
125	0.1609887221
126	0.1600211817
127	0.1595452342
128	0.159051368
129	0.1583711464
130	0.1577435226
131	0.1570090113
132	0.1563864604
133	0.1557646035
134	0.1552329208
135	0.1545336397
136	0.1539182432
137	0.1531434253
138	0.1523612836
139	0.1519082298
140	0.1514333733
141	0.1510533969
142	0.150476111
143	0.1496880921
144	0.1491031138
145	0.1485590574
146	0.1478799755
147	0.1474891603
148	0.1469754159
149	0.1464337691
150	0.1458456714
151	0.1453717993
152	0.1450210997
153	0.144329914
154	0.1439467724
155	0.1433810643
156	0.1427876424
157	0.1423270142
158	0.1417204408
159	0.1413000712
160	0.1409232484
161	0.1405428713
162	0.1399481995
163	0.1393437611
164	0.1389736022
165	0.1384842129
166	0.1380167776
167	0.1376913044
168	0.1374576303
169	0.1368861498
170	0.1363867078
171	0.1361153796
172	0.1355783294
173	0.1352187473
174	0.1346972186
175	0.1343276535
176	0.133840398
177	0.1333789246
178	0.133027664
179	0.1327237474
180	0.1321759802
181	0.1316603895
182	0.1312536026
183	0.130832566
184	0.1302096373
185	0.1298524666
186	0.1294664842
187	0.1291297499
188	0.1286237465
189	0.1283620202
190	0.1279332016
191	0.1275189333
192	0.1271001701
193	0.1267571861
194	0.1263865101
195	0.126202482
196	0.1256065697
197	0.1252604589
198	0.1248419031
199	0.1245342136
200	0.1241324214
201	0.1237238048
202	0.1234026667
203	0.1231135467
204	0.1227006478
205	0.1223013961
206	0.1220636665
207	0.1217579202
208	0.1213841202
209	0.1211528448
210	0.120758501
211	0.1203933953
212	0.12010295
213	0.1198204965
214	0.1194470302
215	0.1192195837
216	0.1188234725
217	0.1185578834
218	0.1183343553
219	0.118010211
220	0.1175235663
221	0.117210984
222	0.1169837623
223	0.1166176453
224	0.1162405749
225	0.1159470028
226	0.1157855697
227	0.1154042676
228	0.1151181763
229	0.1148214897
230	0.114462082
231	0.1142537462
232	0.1139123411
233	0.1136446583
234	0.1133386077
235	0.1129807739
236	0.1126443305
237	0.1124158366
238	0.1122016741
239	0.1119503474
240	0.1115924816
241	0.1113579128
242	0.1111012779
243	0.1108128047
244	0.1106314763
245	0.1103208067
246	0.1101676514
247	0.1098775505
248	0.1097211142
249	0.1095815215
250	0.1092984392
251	0.1090367428
252	0.1088058706
253	0.1086350472
254	0.1083689779
255	0.1080661443
256	0.1078816563
257	0.1076712687
258	0.1073380995
259	0.1071560769
260	0.1069990207
261	0.1064846619
262	0.1063147224
263	0.1060098583
264	0.1058368286
265	0.1056362867
266	0.1054063949
267	0.1051230129
268	0.1049104196
269	0.1045798008
270	0.1044417245
271	0.1041842798
272	0.1038973007
273	0.1036768601
274	0.103483098
275	0.1033347286
276	0.1030490775
277	0.1028150903
278	0.1026054255
279	0.1023246676
280	0.1020976064
281	0.1018548024
282	0.1016212117
283	0.1013991253
284	0.1012273384
285	0.1010460478
286	0.1009026349
287	0.100700789
288	0.1005232224
289	0.1003089399
290	0.1000480759
291	0.09986127018
292	0.09959377342
293	0.0993845975
294	0.0991623283
