iter	Passed	Remaining
399	45088	67632
400	45247	67589
401	45422	67569
402	45582	67524
403	45732	67466
404	45857	67371
405	45987	67282
406	46139	67225
407	46269	67136
408	46403	67053
409	46526	66952
410	46652	66856
411	46781	66765
412	46921	66690
413	47045	66590
414	47140	66450
415	47242	66321
416	47359	66212
417	47490	66122
418	47608	66015
419	47737	65922
420	47856	65817
421	47971	65704
422	48088	65595
423	48175	65446
424	48283	65325
425	48379	65187
426	48489	65069
427	48618	64976
428	48754	64891
429	48854	64760
430	48957	64633
431	49068	64516
432	49169	64386
433	49287	64278
434	49414	64182
435	49544	64090
436	49670	63992
437	49774	63865
438	49872	63732
439	49989	63622
440	50097	63502
441	50197	63371
442	50310	63257
443	50425	63144
444	50554	63051
445	50680	62952
446	50795	62841
447	50899	62715
448	51014	62603
449	51121	62482
450	51231	62364
451	51357	62265
452	51487	62170
453	51595	62050
454	51710	61939
455	51824	61825
456	51935	61709
457	52042	61587
458	52153	61470
459	52240	61326
460	52346	61203
461	52466	61097
462	52584	60988
463	52679	60853
464	52795	60743
465	52900	60619
466	53002	60492
467	53105	60367
468	53205	60239
469	53315	60121
470	53446	60028
471	53577	59933
472	53703	59834
473	53808	59711
474	53917	59593
475	53997	59443
476	54103	59320
477	54220	59211
478	54361	59128
479	54483	59023
480	54592	58905
481	54689	58773
482	54781	58637
483	54870	58498
484	54966	58366
485	55084	58258
486	55205	58152
487	55332	58053
488	55431	57924
489	55532	57799
490	55626	57666
491	55724	57536
492	55834	57420
493	55964	57324
494	56092	57226
495	56218	57125
496	56342	57022
497	56449	56903
498	56560	56787
499	56670	56670
500	56797	56571
501	56922	56469
502	57049	56368
503	57158	56251
504	57276	56142
505	57402	56041
506	57519	55931
507	57624	55809
508	57720	55679
509	57834	55566
510	57959	55463
511	58087	55364
512	58221	55270
513	58315	55138
514	58445	55041
515	58576	54943
516	58700	54839
517	58819	54731
518	58973	54656
519	59122	54574
520	59253	54477
521	59380	54374
522	59502	54269
523	59635	54172
524	59780	54087
525	59912	53989
526	60045	53892
527	60158	53778
528	60273	53664
529	60388	53551
530	60588	53513
531	60702	53399
532	60818	53287
533	60944	53183
534	61099	53105
535	61226	53002
536	61343	52890
537	61457	52775
538	61567	52658
539	61666	52530
540	61752	52392
541	61863	52276
542	61984	52167
543	62083	52040
544	62182	51913
545	62299	51802
546	62410	51685
547	62513	51562
548	62608	51432
549	62726	51321
550	62845	51211
551	62975	51110
552	63093	50999
553	63210	50887
554	63306	50759
555	63408	50635
556	63510	50511
557	63596	50375
558	63691	50246
559	63805	50132
560	63923	50021
561	64054	49921
562	64168	49807
563	64275	49688
564	64373	49561
565	64469	49433
566	64570	49310
567	64699	49208
568	64823	49102
569	64946	48994
570	65049	48872
571	65171	48764
572	65276	48643
573	65398	48536
574	65485	48402
575	65588	48280
576	65736	48191
577	65867	48089
578	66005	47993
579	66125	47883
580	66242	47772
581	66364	47663
582	66502	47567
583	66623	47457
584	66752	47354
585	66878	47248
586	66998	47138
587	67114	47025
588	67227	46910
589	67347	46800
590	67481	46700
591	67606	46593
592	67727	46484
593	67851	46376
594	67975	46269
595	68092	46156
596	68193	46033
597	68285	45904
598	68428	45809
599	68556	45704
600	68693	45604
601	68793	45481
602	68903	45364
603	69017	45250
604	69122	45129
605	69266	45034
606	69397	44931
607	69525	44825
608	69624	44701
609	69746	44591
610	69855	44474
611	69975	44363
612	70102	44257
613	70237	44155
614	70364	44049
615	70473	43931
616	70597	43822
617	70693	43697
618	70800	43578
619	70912	43462
620	71051	43363
621	71208	43274
622	71353	43178
623	71494	43079
624	71597	42958
625	71715	42845
626	71829	42731
627	71979	42637
628	72129	42543
629	72265	42441
630	72410	42344
631	72535	42236
632	72654	42123
633	72778	42014
634	72895	41900
635	73036	41800
636	73174	41698
637	73309	41595
638	73441	41490
639	73596	41398
640	73715	41285
641	73828	41169
642	73941	41053
643	74039	40928
644	74157	40815
645	74297	40713
646	74436	40611
647	74590	40518
648	74707	40404
649	74820	40288
650	74928	40168
651	75051	40058
652	75200	39960
653	75330	39853
654	75433	39732
655	75555	39620
656	75658	39499
657	75740	39366
658	75858	39252
659	75986	39144
660	76135	39046
661	76257	38935
662	76389	38828
663	76491	38706
664	76596	38586
665	76686	38458
666	76791	38337
667	76927	38233
668	77042	38118
669	77173	38010
670	77314	37908
671	77436	37796
672	77565	37687
673	77676	37570
674	77786	37452
675	77911	37342
676	78053	37239
677	78179	37129
678	78303	37018
679	78418	36902
680	78519	36780
681	78637	36666
682	78758	36553
683	78910	36455
684	79050	36351
685	79208	36255
686	79339	36147
687	79468	36037
688	79573	35917
689	79698	35806
690	79837	35701
691	79986	35601
692	80142	35503
693	80264	35390
694	80378	35273
695	80490	35156
696	80611	35043
697	80720	34925
698	80855	34817
699	80979	34705
700	81111	34596
701	81230	34482
702	81334	34361
703	81445	34244
704	81557	34126
705	81652	34002
706	81792	33897
707	81933	33791
708	82069	33684
709	82197	33573
710	82306	33455
711	82423	33339
712	82539	33224
713	82636	33100
714	82744	32982
715	82854	32864
716	82975	32750
717	83101	32638
718	83233	32529
719	83355	32416
720	83483	32305
721	83603	32190
722	83729	32078
723	83868	31971
724	84000	31862
725	84120	31748
726	84230	31629
727	84350	31515
728	84448	31392
729	84530	31264
730	84650	31150
731	84791	31043
732	84913	30930
733	85010	30807
734	85112	30686
735	85211	30565
736	85301	30440
737	85382	30312
738	85488	30192
739	85616	30081
740	85756	29974
741	85867	29856
742	85982	29740
743	86086	29621
744	86173	29495
745	86278	29376
746	86374	29254
747	86482	29135
748	86593	29018
749	86694	28898
750	86808	28782
751	86926	28667
752	87026	28546
753	87128	28426
754	87250	28312
755	87343	28190
756	87451	28072
757	87559	27954
758	87651	27831
759	87741	27707
760	87845	27588
761	87954	27471
762	88053	27350
763	88156	27231
764	88265	27114
765	88371	26995
766	88475	26877
767	88571	26755
768	88672	26636
769	88754	26511
770	88884	26400
771	89003	26286
772	89111	26168
773	89224	26052
774	89326	25933
775	89425	25813
776	89520	25692
777	89619	25572
778	89744	25460
779	89863	25345
780	89952	25223
781	90050	25103
782	90166	24988
783	90269	24870
784	90374	24752
785	90473	24632
786	90570	24512
787	90667	24392
788	90794	24280
789	91010	24192
790	91100	24070
791	91201	23952
792	91313	23836
793	91429	23720
794	91528	23601
795	91636	23484
796	91758	23371
797	91888	23259
798	91979	23138
799	92082	23020
800	92172	22899
801	92278	22781
802	92378	22663
803	92499	22549
804	92625	22437
805	92766	22328
806	92878	22212
807	92999	22098
808	93109	21982
809	93202	21862
810	93293	21741
811	93380	21620
812	93493	21504
813	93620	21392
814	93739	21278
815	93856	21163
816	93957	21045
817	94056	20927
818	94153	20808
819	94277	20695
820	94387	20579
821	94507	20465
822	94606	20346
823	94707	20228
824	94806	20110
825	94902	19991
826	94985	19869
827	95103	19755
828	95215	19640
829	95318	19523
830	95432	19407
831	95517	19287
832	95620	19170
833	95722	19052
834	95833	18937
835	95943	18821
836	96045	18704
837	96155	18588
838	96273	18474
839	96383	18358
840	96498	18244
841	96610	18128
842	96713	18011
843	96844	17900
844	96966	17786
845	97097	17674
846	97239	17565
847	97358	17451
848	97476	17336
849	97562	17216
850	97662	17099
851	97763	16982
852	97879	16867
853	98005	16754
854	98134	16642
855	98233	16525
856	98331	16407
857	98441	16292
858	98540	16174
859	98632	16056
860	98715	15936
861	98828	15821
862	98948	15707
863	99061	15593
864	99166	15476
865	99278	15361
866	99375	15244
867	99472	15127
868	99589	15012
869	99707	14898
870	99847	14787
871	99948	14671
872	100034	14552
873	100122	14434
874	100219	14317
875	100310	14199
876	100434	14086
877	100551	13971
878	100668	13857
879	100774	13742
880	100888	13627
881	100994	13511
882	101083	13393
883	101192	13278
884	101310	13164
885	101418	13049
886	101533	12934
887	101646	12820
888	101735	12702
889	101838	12586
890	101944	12471
891	102041	12354
